question,answer,category,difficulty,source,id,word_count,char_count,created_date,url
What is the greenhouse effect?,"The greenhouse effect is a natural process where certain gases in Earth's atmosphere trap heat from the sun. When sunlight reaches Earth, some is reflected back to space, but most is absorbed by the surface. Earth then radiates this energy as heat. Greenhouse gases like carbon dioxide, methane, and water vapor absorb this heat and re-emit it in all directions, including back toward Earth. This process keeps Earth about 33°C warmer than it would be without these gases, making life possible.",basic_concepts,beginner,manual_curation,climate_qa_001,81,494,2024-12-01,manual_creation
What is the enhanced greenhouse effect?,"The enhanced greenhouse effect occurs when human activities increase the concentration of greenhouse gases in the atmosphere beyond natural levels. This extra layer of greenhouse gases traps more heat than the natural greenhouse effect, causing global temperatures to rise. The main culprit is carbon dioxide from burning fossil fuels, which has increased atmospheric CO2 by over 40% since pre-industrial times.",basic_concepts,intermediate,manual_curation,climate_qa_002,60,411,2024-12-01,manual_creation
What is the difference between weather and climate?,"Weather refers to short-term atmospheric conditions in a specific place at a specific time, such as temperature, precipitation, and wind on a particular day. Climate, however, describes the long-term average weather patterns in a region over decades or centuries. Think of it this way: climate is what you expect, weather is what you get. For example, you expect hot summers in Arizona (climate), but any single day might be cooler than average (weather).",basic_concepts,beginner,manual_curation,climate_qa_003,73,455,2024-12-01,manual_creation
What are the main greenhouse gases?,"The main greenhouse gases are: 1) Carbon dioxide (CO2) - the most abundant, primarily from burning fossil fuels; 2) Methane (CH4) - from agriculture, landfills, and natural gas; 3) Nitrous oxide (N2O) - from fertilizers and fossil fuel combustion; 4) Fluorinated gases - from refrigeration and industrial processes; and 5) Water vapor (H2O) - increases as atmosphere warms. CO2 accounts for about 76% of total greenhouse gas emissions.",basic_concepts,beginner,manual_curation,climate_qa_004,68,435,2024-12-01,manual_creation
How do we know climate change is happening?,"We know climate change is happening through multiple lines of evidence: 1) Temperature records show warming trends since the 1880s; 2) Ice core data reveals atmospheric CO2 levels are higher than any time in 800,000 years; 3) Glaciers and ice sheets are shrinking globally; 4) Sea levels are rising; 5) Ocean temperatures are increasing; 6) Seasonal patterns are shifting; and 7) Extreme weather events are becoming more frequent. This evidence comes from thousands of scientists worldwide using independent measurement methods.",basic_concepts,intermediate,manual_curation,climate_qa_005,80,528,2024-12-01,manual_creation
What is carbon dioxide and why is it important for climate?,"Carbon dioxide (CO2) is a colorless, odorless gas that occurs naturally in Earth's atmosphere. It's crucial for climate because it's a greenhouse gas that traps heat. Plants use CO2 for photosynthesis, and animals produce it when breathing. However, human activities, especially burning fossil fuels, have increased atmospheric CO2 by over 40% since pre-industrial times. This extra CO2 enhances the greenhouse effect, causing global temperatures to rise.",basic_concepts,beginner,manual_curation,climate_qa_006,66,455,2024-12-01,manual_creation
What is the carbon cycle?,"The carbon cycle is the process by which carbon moves between Earth's atmosphere, land, oceans, and living organisms. Carbon is exchanged through photosynthesis (plants absorb CO2), respiration (organisms release CO2), ocean absorption, volcanic emissions, and decomposition. Human activities have disrupted this natural cycle by adding extra CO2 through fossil fuel burning and deforestation, leading to more carbon in the atmosphere than natural processes can remove.",basic_concepts,intermediate,manual_curation,climate_qa_007,65,469,2024-12-01,manual_creation
What is global warming?,"Global warming refers to the long-term increase in Earth's average surface temperature due to human activities and natural factors. Since the late 1800s, the average global temperature has risen by about 1.1°C (2°F), with most of this warming occurring in the past 40 years. The primary cause is increased greenhouse gas emissions from burning fossil fuels, which trap more heat in the atmosphere.",basic_concepts,beginner,manual_curation,climate_qa_008,63,397,2024-12-01,manual_creation
What is climate feedback?,"Climate feedback occurs when changes in the climate system trigger additional changes that either amplify (positive feedback) or reduce (negative feedback) the original change. For example, as ice melts due to warming, it exposes darker surfaces that absorb more heat, causing more warming and melting - this is positive feedback. Cloud formation can provide negative feedback by reflecting sunlight back to space. Understanding feedbacks is crucial for predicting future climate changes.",basic_concepts,advanced,manual_curation,climate_qa_009,71,488,2024-12-01,manual_creation
What is the albedo effect?,"The albedo effect refers to how much sunlight a surface reflects back to space. Light-colored surfaces like ice and snow have high albedo (reflect most sunlight), while dark surfaces like forests and oceans have low albedo (absorb most sunlight). As global warming melts ice and snow, it exposes darker surfaces underneath, which absorb more heat and cause additional warming. This creates a positive feedback loop that accelerates climate change.",basic_concepts,intermediate,manual_curation,climate_qa_010,69,447,2024-12-01,manual_creation
What are fossil fuels?,"Fossil fuels are energy sources formed from the remains of ancient plants and animals buried and compressed over millions of years. The main types are coal, oil (petroleum), and natural gas. When burned for energy, fossil fuels release carbon dioxide and other greenhouse gases that were stored underground. This is the primary source of human-caused climate change, as we're essentially releasing millions of years worth of stored carbon back into the atmosphere in just a few centuries.",basic_concepts,beginner,manual_curation,climate_qa_011,77,488,2024-12-01,manual_creation
What is methane and why is it important for climate?,"Methane (CH4) is a potent greenhouse gas that is about 25 times more effective at trapping heat than carbon dioxide over a 100-year period. It comes from natural sources like wetlands and human activities including agriculture (especially livestock), landfills, and natural gas production. While methane makes up a smaller percentage of total emissions than CO2, its high warming potential makes it a critical target for climate action. The good news is that methane breaks down faster in the atmosphere than CO2.",basic_concepts,intermediate,manual_curation,climate_qa_012,81,513,2024-12-01,manual_creation
How does climate change affect sea levels?,"Climate change causes sea levels to rise through two main processes: thermal expansion and ice melting. As ocean water warms, it expands, taking up more space. Additionally, glaciers and ice sheets on land are melting, adding water to the oceans. Global sea levels have risen about 8-9 inches since 1880, with the rate of increase accelerating in recent decades. This threatens coastal communities, infrastructure, and ecosystems worldwide.",impacts,intermediate,manual_curation,climate_qa_013,67,440,2024-12-01,manual_creation
What are the health impacts of climate change?,"Climate change affects human health in several ways: 1) Heat-related illnesses from extreme temperatures; 2) Air quality problems from increased pollution and wildfires; 3) Vector-borne diseases spreading to new areas as climates warm; 4) Food and water security issues; 5) Mental health impacts from extreme weather events; and 6) Displacement of communities. Vulnerable populations, including children, elderly, and those with pre-existing conditions, face the greatest risks.",impacts,intermediate,manual_curation,climate_qa_014,66,478,2024-12-01,manual_creation
How does climate change affect wildlife and ecosystems?,"Climate change impacts wildlife and ecosystems by altering habitats, food sources, and migration patterns. Rising temperatures force species to migrate to cooler areas or higher elevations. Changing precipitation affects water availability. Ocean acidification harms marine life with shells and skeletons. Timing mismatches occur when species' life cycles no longer align with their food sources. Some species adapt, but many face extinction, leading to biodiversity loss and ecosystem disruption.",impacts,intermediate,manual_curation,climate_qa_015,68,497,2024-12-01,manual_creation
What is ocean acidification?,"Ocean acidification occurs when the ocean absorbs excess carbon dioxide from the atmosphere, making seawater more acidic. The ocean has absorbed about 30% of human-produced CO2, which lowers the pH of seawater. This makes it harder for marine organisms like corals, shellfish, and some plankton to build their calcium carbonate shells and skeletons. Ocean acidification is sometimes called ""the other CO2 problem"" and threatens marine food webs.",impacts,intermediate,manual_curation,climate_qa_016,67,445,2024-12-01,manual_creation
